2026-05-13 09:42:17 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_094217_pre_inv_inc_Dr_Prince_Pareek_F.xlsx
2026-05-13 09:42:17 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 09:42:17 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Dr Prince Pareek-FBD: 2 → 3
2026-05-13 09:42:18 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 09:42:18 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 09:42:18 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 09:42:18 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Shehrawat Hospital-FBD
2026-05-13 09:42:18 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_094218_pre_inv_inc_Shehrawat_Hospital.xlsx
2026-05-13 09:42:18 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 09:42:19 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Shehrawat Hospital-FBD: 2 → 3
2026-05-13 09:42:19 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 09:42:19 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 09:42:19 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 09:42:20 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Kashi Healthcare-FBD
2026-05-13 09:42:20 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_094220_pre_inv_inc_Kashi_Healthcare_F.xlsx
2026-05-13 09:42:20 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 09:42:20 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Kashi Healthcare-FBD: 2 → 3
2026-05-13 09:42:21 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 09:42:21 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 09:42:21 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 09:42:21 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Dr Roopali Singhal-FBD
2026-05-13 09:42:21 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_094221_pre_inv_inc_Dr_Roopali_Singhal.xlsx
2026-05-13 09:42:21 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 09:42:22 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Dr Roopali Singhal-FBD: 2 → 3
2026-05-13 09:42:23 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 09:42:23 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 09:42:23 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 09:42:23 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Janta Hospital -FBD
2026-05-13 09:42:23 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_094223_pre_inv_inc_Janta_Hospital__FB.xlsx
